SHENO,GN,fieldcount,Land_ID,Land_Type,Land_Size,Land_Tenancy,Land_TenureLength,Land_Type1,Land_Type2,Land_Type3,Land_Seasonality,Land_IrrigSource1,Land_IrrigSource2,Land_IrrigSource3,Land_IrrigSource4,Land_IrrigSource5,Land_MainTankIrrig,Land_StorageTankIrrig,Land_SluiceName1,Land_SluiceName2,Land_FieldCanalLocation,Land_DCanalName,Land_FCanalNumber,Land_PrepWaterDaysMaha,Land_PrepWaterDaysYala,Land_PrepWaterSatisMaha,Land_PrepWaterSatisYala,Land_GrowingWaterIntervalMaha,Land_GrowingWaterHoursMaha,Land_GrowingWaterIntervalYala,Land_GrowingWaterHoursYala,Land_GrowingWaterSatisMaha,Land_GrowingWaterSatisYala,Land_LatterWaterIntervalMaha,Land_LatterWaterHoursMaha,Land_LatterWaterIntervalYala,Land_LatterWaterHoursYala,Land_LatterWaterSatisMaha,Land_LatterWaterSatisYala,Land_CultivationFrequency,Land_WhyNoCult1,Land_WhyNoCult2,Land_WhyNoCult3,Land_WhyNoCult4,Land_WhyNoCult5,Land_LowYieldDrought,Land_LowYieldOther,filter_$
111,16,3,3,3,1,1,5,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, , , , ,0,0,0
121,16,2,1,1,.5,1,35,1, , ,1,5, , , , , ,46,5, ,2, , ,99,10,3,3,7,12,7,12,3,3,7,9,7,9,3,3,8,1, , , , ,0,0,0
121,16,2,2,2,1,1,15,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,3,0
319,36,2,1,1,.5,1,10,1, , ,2,5, , , , , ,92,6, ,2, , ,99, ,4, ,7,5, , ,2, ,7,5, , ,2, ,3,1, , , , ,1,1,0
319,36,2,2,2,1.5,1,3,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6, , , , ,0,0,0
323,36,1,1,1,.5,1,20,1, , ,2,5, , , , , ,92,6, ,2, , ,99, ,4, ,7,12, , ,3, ,7,12, , ,3, ,4,1, , , , ,0,0,0
335,36,2,1,1,.5,1,5,1, , ,2,5, , , , , ,97,5, ,3, , ,1, ,3, ,7,3, , ,3, ,6,3, , ,3, ,5,1, , , , ,0,1,0
335,36,2,2,2,2,1,4,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,0
345,36,1,1,1,.5,1,14,1, , ,2,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,1
404,20,2,1,1,.5,3,15,1, , ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
404,20,2,2,2,.75,1,27,2, , ,3,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, , , , ,1,2,0
408,20,2,1,1,.5,1,20,1, , ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,2,4,1
408,20,2,2,2,1.75,6,20,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
409,20,1,1,1,.5,5,15,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2,1, , , ,2,2,0
411,20,1,1,1,1,1,7,2,1, ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,3,1
412,20,2,1,1,3,5,30,1, , ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,6, , , ,0,0,0
412,20,2,2,1,.5,3,15,1, , ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,0,0,0
420,20,2,1,1,.5,6,16,1,2, ,1,5,11, , , , ,69,5, ,1, , ,99,15,4,3,99,99,3,72,4,3,99,99,3,48,4,2,10, , , , , ,4,3,0
420,20,2,2,1,.5,3,2,1, , ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,4,3,0
422,20,3,1,1,.25,1,4,1, , ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,6, , , ,3,2,0
422,20,3,2,1,.5,3,1,1, , ,2,5, , , , , ,66,5, ,1, , ,10, ,3, ,3,3, , ,3, ,3,3, , ,3, ,2,1,6, , , ,1,1,0
422,20,3,3,2,1,1,15,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,8,4,0
429,20,2,1,1,.75,1,30,1,2, ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6, , , , ,1,2,0
429,20,2,2,4,4,1,4,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,1,1,0
430,20,2,1,2,2,6,25,2, , ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,1
430,20,2,2,1,.5,3,0,1, , ,2,5, , , , , ,66,7, ,2, , ,14, ,3, ,3,48, , ,3, ,3,48, , ,2, ,1,1, , , , ,0,0,0
562,23,1,1,1,.5,2,34,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,7,1.5,5,1.5,3,3,5,1.5,5,1.5,3,3,10, , , , , ,0,2,0
564,23,2,1,1,1.5,2,10,1, , ,1,4, , , , ,3,71,2, ,3,99,99,14,14,3,3,7,4,4,3,3,3,7,2,5,3,3,3,10, , , , , ,0,2,0
564,23,2,2,1,.5,2,30,1, , ,1,4, , , , ,3,71,2, ,3,99,99,14,14,3,3,5,2,5,2,3,3,7,1,7,1,3,3,10, , , , , ,0,3,0
568,23,1,1,1,.5,2,30,1, , ,1,4, , , , ,3,71,2, ,3,99,99,21,21,3,3,7,1,4,1,3,3,10,1,5,1,3,3,10, , , , , ,0,3,0
606,24,3,1,1,.5,1,35,1, , ,1,5, , , , , ,76,7, ,2, , ,30,30,3,3,7,6,7,6,3,3,7,6,7,6,3,3,10, , , , , ,0,2,0
606,24,3,2,2,3,1,35,2,3, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,4,0,0
606,24,3,3,2,2,3,1,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , ,0,1,0
625,24,2,1,1,.5,1,11,1, , ,1,5, , , , , ,76,7, ,2, , ,30,30,3,3,7,3,7,3,3,3,7,3,7,3,3,3,8,2, , , , ,0,0,0
625,24,2,2,2,2,1,11,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,0,0
626,24,1,1,1,.5,1,15,1, , ,1,5, , , , , ,76,7, ,2, , ,7,5,3,2,3,1,3,1,3,2,6,6,6,6,3,2,9,1, , , , ,2,2,0
706,25,2,1,1,.5,2,15,1, , ,1,3, , , , ,6,81,2, ,3,99,FC 10 S ELA,4,4,2,2,3,2,3,2,2,2,4,2,4,2,2,2,10, , , , , ,3,3,0
706,25,2,2,1,.25,2,15,3, , ,6,3, , , , ,6,81,2, ,3,99,FC 10,99,2,3,3,14,2,14,2,3,3,14,2,14,2,2,2,10, , , , , ,3,0,0
719,25,2,1,1,.5,2,6,1, , ,1,3, , , , ,6,81,2, ,1,99,FC 7,24,14,3,3,7,5,7,10,3,3,7,5,7,10,3,3,10, , , , , ,0,0,0
719,25,2,2,3,.5,2,15,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
735,25,2,1,1,.5,6,25,1, , ,1,3, , , , ,6,81,2, ,3,99,99,99,99,3,3,99,99,99,99,3,3,99,99,99,99,3,3,10, , , , , ,0,0,0
735,25,2,2,2,1,2,45,3, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,1,0
754,26,2,1,2,.5,2,10,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,3, ,8,8, , ,2, ,10,6, , ,2, ,5,1, , , , ,2,0,0
754,26,2,2,2,1,3,5,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,0,0
759,26,1,1,1,.5,1,6,1, , ,2,5, , , , , ,86,4, ,1, , ,99, ,2, ,7,6, , ,2, ,7,6, , ,2, ,5,1, , , , ,1,0,0
762,26,2,1,1,.5,2,20,1, , ,1,5, , , , , ,86,5, ,2, , ,99,99,2,2,10,4,10,4,2,2,10,4,10,4,2,2,9,1, , , , ,1,1,0
762,26,2,2,3,2,2,20,2,3, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,0,1
763,26,1,1,3,.5,1,10,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,0,0
768,26,4,1,1,.5,2,10,1, , ,2,5, , , , , ,86,5, ,1, , ,99, ,3, ,10,8, , ,3, ,10,6, , ,3, ,5,1, , , , ,2,0,0
768,26,4,2,2,1,2,30,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,1,0
768,26,4,3,3,.5,2,3,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
768,26,4,4,4,3,3,3,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
769,26,2,1,1,.5,2,10,1, , ,2,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
769,26,2,2,2,1.5,2,20,2,3, ,2,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,3,1,0
770,26,3,1,1,.5,2,8,1, , ,2,5, , , , , ,86,7, ,1, , ,99, ,2, ,10,4, , ,2, ,10,4, , ,2, ,5,1, , , , ,2,0,0
770,26,3,2,2,2,2,8,2,3, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,3,0
770,26,3,3,2,.25,8,1,2, , ,3,8,11, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6, , , , ,0,0,0
771,26,2,1,1,.5,2,10,1, , ,2,5, , , , , ,86,7, ,1, , ,99, ,2, ,4,3, , ,2, ,10,4, , ,2, ,5,1, , , , ,1,0,0
771,26,2,2,2,2,2,26,2,3, ,1,8,11, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,4,0
772,26,2,1,1,.5,2,10,1, , ,2,5, , , , , ,86,7, ,1, , ,99, ,2, ,4,2, , ,2, ,4,3, , ,2, ,5,1, , , , ,1,0,0
772,26,2,2,3,4,2,25,2, , ,2,8,11, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
773,26,2,1,1,.5,1,12,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,2, ,7,5, , ,2, ,7,5, , ,2, ,5,1, , , , ,1,0,0
773,26,2,2,2,2,1,29,3,2, ,4,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,0
774,26,1,1,1,.5,1,12,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,2, ,10,12, , ,2, ,10,12, , ,2, ,5,1, , , , ,1,0,0
775,26,2,1,1,.5,1,13,1, , ,2,5, , , , , ,86,4, ,3, , ,99, ,1, ,1,4, , ,2, ,1,4, , ,2, ,5,1, , , , ,1,0,0
775,26,2,2,2,4,1,35,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,0
778,26,2,1,1,.5,1,7,1,2, ,1,5, , , , , ,86,4, ,1, , ,99,99,2,2,7,12,99,99,2,2,7,12,99,99,2,2,5,1, , , , ,1,0,0
778,26,2,2,2,.5,1,7,3,2, ,2,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,0,0
781,26,2,1,1,.5,1,10,1, , ,2,5, , , , , ,86,4, ,2, , ,99, ,2, ,10,6, , ,2, ,10,6, , ,3, ,5,1, , , , ,1,0,0
781,26,2,2,3,.5,1,10,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,0,0,0
782,26,2,1,1,.5,1,7,1, , ,2,5, , , , , ,86,5, ,2, , ,99, ,3, ,10,4, , ,3, ,10,4, , ,3, ,5,1, , , , ,1,0,0
782,26,2,2,3,.5,1,10,2,3, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,0,0,0
783,26,2,1,1,.5,6,10,1, , ,2,5, , , , , ,86,7, ,2, , ,99, ,2, ,8,3, , ,2, ,8,3, , ,2, ,5,1, , , , ,1,1,0
783,26,2,2,2,1.5,3,5,2, , ,1,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
785,26,3,1,1,.5,2,10,1, , ,2,5, , , , , ,86,5, ,2, , ,99, ,3, ,8,6, , ,3, ,10,8, , ,3, ,5,1, , , , ,2,1,0
785,26,3,2,2,2.5,3,12,3, , ,6,5, , , , , ,86,5, ,2, , ,99,99,2,2,8,5,8,5,1,1,10,8,10,8,2,2,5,1, , , , ,2,0,0
785,26,3,3,3,.5,2,25,2, , ,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,0,0
817,13,1,1,2,.5,1,2,1, , ,1,5, , , , , ,31,8, ,2, , ,21,21,3,3,5,3,7,2,3,3,20,20,30,24,3,3,8,1, , , , ,2,2,0
839,13,2,1,2,1.5,1,35,2,3, ,1,5, , , , , ,31,6, ,2, , ,7,7,3,3,7,4,7,4,3,2,7,4,7,4,3,2,7,1, , , , ,2,2,0
839,13,2,2,2,.5,1,35,1, , ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , ,2,2,1
145,16,2,1,1,.25,1,5,1, , ,1,5, , , , , ,46,4, ,2, , ,1,2,3,3,7,6,5,7,3,3,7,2,7,3,3,3,5,1, , , , ,0,0,0
145,16,2,2,1,.5,3,2,1, , ,2,5, , , , , ,47,4, ,2, , ,1, ,3, ,7,6, , ,3, ,10,5, , ,3, ,2,1, , , , ,0,1,0
303,36,1,1,1,.75,1,4,1, , ,2,5, , , , , ,98,6, ,3, , ,4, ,3, ,7,24, , ,3, ,7,24, , ,3, ,5,1, , , , ,2,1,0
402,20,4,1,1,.75,1,25,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, , , , ,3,3,0
402,20,4,2,1,1.5,6,25,1,2, ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
402,20,4,3,2,.75,1,25,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,1,1,0
402,20,4,4,2,1.5,6,25,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,1,1,0
624,24,2,1,1,.75,1,4,1, , ,1,5, , , , , ,76,7, ,2, , ,15,15,3,3,7,3,7,6,3,3,7,3,7,6,3,3,8,6,4, , , ,0,0,0
624,24,2,2,2,1.5,1,30,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,6,0,0
835,13,2,1,2,.25,2,16,1, , ,1,5, , , , , ,31,5, ,3, , ,6,6,3,3,7,24,7,24,3,3,7,24,7,24,3,3,7,1, , , , ,1,1,0
835,13,2,2,1,.5,1,16,1, , ,1,2, , , , ,4, ,1, ,1,D1,FC1,30,30,3,3,6,24,6,24,3,3,6,24,6,24,3,3,8,1, , , , ,1,1,0
925,7,2,1,1,.75,1,6,1, , ,2,4, , , , ,5,11,7,13,2,D13,99,7, ,3, ,7,2, , ,3, ,5,3, , ,3, ,5,1, , , , ,1,2,0
925,7,2,2,1,.5,7,6,1, , ,5,4, , , , ,5,11,7,13,2,D13,99, ,3, ,2, , ,5,1, ,2, , ,3,2, ,2,4,1, , , , ,1,2,0
926,7,1,1,1,.75,1,18,1, , ,2,4, , , , ,5,11,7,13,1,D 13,1,2, ,3, ,7,2, , ,3, ,7,2, , ,3, ,4,2, , , , ,1,1,0
927,7,1,1,1,.75,3,3,1, , ,2,4, , , , ,5,11,7,13,2,D13,99,7, ,3, ,7,4, , ,3, ,7,4, , ,3, ,1,1, , , , ,0,1,0
101,16,2,1,1,1,1,15,1, , ,1,5, , , , , ,46,5, ,2, , ,3,3,3,3,2,5,2,5,3,3,2,8,2,10,3,3,7,1, , , , ,2,3,0
101,16,2,2,2,1.75,1,25,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,0,1,0
103,16,1,1,1,1,1,40,1, , ,2,5, , , , , ,46,4, ,2, , ,15, ,3, ,7,6, , ,3, ,5,6, , ,3, ,5,1, , , , ,1,0,0
114,16,2,1,1,1,1,22,1,2, ,1,5, , , , , ,46,4, ,2, , ,10,7,3,3,7,12,5,9,3,3,9,7,8,7,3,3,8,1, , , , ,0,0,0
114,16,2,2,2,2,1,35,2, , ,2,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,0,0,1
115,16,1,1,1,1,1,20,1, , ,2,5, , , , , ,50,5, ,1, , ,99, ,3, ,7,6, , ,3, ,7,4, , ,3, ,4,1, , , , ,0,0,0
117,16,5,1,1,.5,3,5,1, , ,1,5, , , , , ,46,5, ,2, , ,3,3,3,3,7,6,7,6,3,3,10,6,10,6,3,3,7,1, , , , ,0,0,0
117,16,5,2,1,.25,1,25,1, , ,1,5, , , , , ,46,5, ,2, , ,4,3,3,3,10,3,10,3,3,3,10,4,10,4,3,3,7,1, , , , ,0,0,0
117,16,5,3,1,.25,3,5,1, , ,1,5, , , , , ,46,5, ,2, , ,3,3,3,3,10,3,10,3,3,3,10,4,10,4,3,3,7,1, , , , ,0,0,0
117,16,5,4,4,1,1,15,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,2,0
117,16,5,5,4,1,1,15,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,2,0
122,16,1,1,1,1,1,45,1, , ,2,5, , , , , ,46,5, ,3, , ,2, ,3, ,5,7, , ,3, ,5,7, , ,3, ,3,1, , , , ,0,0,0
128,16,3,1,1,.5,1,10,1, , ,1,5, , , , , ,46,4, ,2, , ,15,20,3,3,4,2,7,2,3,3,4,2,4,2,3,3,5,1, , , , ,1,0,0
128,16,3,2,1,.5,1,10,1, , ,2,5, , , , , ,46,4, ,3, , ,15, ,3, ,4,3, , ,3, ,4,3, , ,3, ,4,1, , , , ,0,0,0
128,16,3,3,4,3.5,1,15,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6, , , , ,1,1,0
133,16,2,1,1,1,1,10,1, , ,2,5, , , , , ,46,5, ,3, , ,1, ,3, ,7,10, , ,3, ,14,6, , ,3, ,4,1, , , , ,0,0,0
133,16,2,2,2,5,1,15,3, , ,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
146,16,3,1,1,.5,1,20,1, , ,2,5, , , , , ,53,7, ,3, , ,3, ,3, ,6,4, , ,3, ,7,5, , ,3, ,2,1, , , , ,0,1,0
146,16,3,2,1,.5,1,30,1, , ,2,5, , , , , ,46,5, ,3, , ,3, ,3, ,5,5, , ,3, ,5,5, , ,3, ,4,1, , , , ,3,1,0
146,16,3,3,2,3,1,6,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,1,0
209,15,3,1,2,1,2,30,1, , ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1, , , , ,1,0,1
209,15,3,2,2,1,6,15,2,3, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5, , , , ,0,0,0
209,15,3,3,2,1,2,30,3,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1, , , , ,1,0,0
247,15,2,1,1,1,2,1,1, , ,1,2, , , , ,1, ,2, ,1,D8 ELA,RB6,3,3,3,3,5,7,5,7,3,3,15,7,15,7,3,3,2,4, , , , ,0,0,0
247,15,2,2,2,1,2,3,3, , ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,0,0,1
251,15,3,1,1,1,1,4,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , ,1,0,0
251,15,3,2,2,2,1,10,3, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,0,0,0
251,15,3,3,2,1.5,1,5,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5, , , , ,2,0,0
314,36,2,1,2,2,1,8,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,0
314,36,2,2,1,1,3,1,1, , ,2,5, , , , , ,93,6, ,2, , ,99, ,4, ,8,10, , ,3, ,8,10, , ,3, ,1,6, , , , ,0,0,0
338,36,2,1,1,1,1,10,1, , ,2,5, , , , , ,92,4, ,2, , ,99, ,3, ,10,3, , ,3, ,10,3, , ,3, ,4,1, , , , ,2,0,0
338,36,2,2,2,1.5,1,10,2, , ,3,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6, , , , ,0,0,1
360,36,1,1,1,1,2,12,1, , ,2,5, , , , , ,92,4, ,2, , ,9, ,3, ,6,5, , ,3, ,8,6, , ,3, ,3,1, , , , ,1,0,0
367,36,3,1,1,.5,3,2,1, , ,2,5, , , , , ,97,5, ,3, , ,2, ,3, ,10,3, , ,3, ,10,3, , ,3, ,2,1, , , , ,1,1,0
367,36,3,2,1,.5,3,2,1, , ,2,5, , , , , ,97,5, ,3, , ,2, ,3, ,10,1, , ,3, ,10,3, , ,3, ,2,1, , , , ,1,1,0
367,36,3,3,2,2,1,12,2, , ,2,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,1
401,20,2,1,1,3,1,35,1, , ,1,5, , , , , ,68,7, ,3, , ,20,12,3,2,3,48,3,56,3,2,3,48,3,48,3,2,4,3,6, , , ,2,4,0
401,20,2,2,1,1,3,20,1,2, ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,4,1
406,20,3,1,1,1,1,10,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , ,2,2,0
406,20,3,2,2,.75,1,10,2, , ,3,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,0,1
406,20,3,3,1,3,1,10,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , ,0,0,0
414,20,3,1,1,3,6,32,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , ,4,2,0
414,20,3,2,2,1,1,45,2,3, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,3, , , ,4,2,0
414,20,3,3,1,1,1,37,1, , ,2,5, , , , , ,69,5, ,2, , ,99, ,3, ,4,72, , ,3, ,3,72, , ,3, ,5,1, , , , ,2,1,0
426,20,3,1,2,2.5,1,40,1,2, ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,5, , , , ,3,8,1
426,20,3,2,2,1,5,40,2,3, ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , ,1,2,1
426,20,3,3,1,2.5,1,30,1, , ,2,5, , , , , ,68,7, ,1, , ,15, ,3, ,3,24, , ,3, ,3,24, , ,3, ,3,5,6,3, , ,0,3,0
434,20,2,1,1,1,1,12,1, , ,2,5,8, , , , ,69,5, ,3, , ,5, ,2, ,4,48, , ,2, ,4,48, , ,3, ,4,1, , , , ,0,4,0
434,20,2,2,2,.25,5,2,2, , ,3,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,2,1
435,20,4,1,1,1,5,7,1, , ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,4,1,0
435,20,4,2,1,3,5,10,1, , ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,3,0
435,20,4,3,2,2.5,1,10,3,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , ,2,1,0
435,20,4,4,2,1,3,1,3,2, ,3,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, , , , ,1,1,1
465,19,1,1,1,3,5,8,1, , ,1,3, , , , ,2,61,7, ,3,D 2,FC 9,14,19,3,3,4,48,4,48,3,2,4,72,4,72,3,2,10, , , , , ,3,0,0
481,19,1,1,1,3,1,35,1, , ,1,3, , , , ,2,61,7, ,3,D2,FC13,30,30,3,3,7,48,7,48,3,3,7,48,7,48,3,2,10, , , , , ,3,1,0
