SPSS_vname,season,vname,vdesc,questionText,class,section,sectionNo,table,q,sq,ssq,sssq,unit,repeat,qualitative,other,nan
HAC2A1,,tractor2,Two-wheel tractor,Tractor (hand tractor/two wheel),YN,Farm assets,2,2,,,,,,,,,
HAC2A2,,tractor4,Four-wheel tractor,Tractor (four wheel),YN,Farm assets,2,2,,,,,,,,,
HAC2A3,,sprayer,Sprayer,sprayer,YN,Farm assets,2,2,,,,,,,,,
HAC2A4,,pump,Water pump,Water pump,YN,Farm assets,2,2,,,,,,,,,
HAC2A5,,thresher,Thresher,Thresher (AgroTec),YN,Farm assets,2,2,,,,,,,,,
HAC2A6,,ghost,Ghost combine harvester,Ghost combine harvester,YN,Farm assets,2,2,,,,,,,,,
HAC2A7,,tsunami,Tsunami combine harvester,Tsunami combine harvester,YN,Farm assets,2,2,,,,,,,,,
HAC2A8,,harvester,Other combine harvester,Other combine harvester,YN,Farm assets,2,2,,,,,,,,,
HAC2B1,,tractor2o,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B2,,tractor4o,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B3,,sprayero,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B4,,pumpo,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B5,,threshero,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B6,,ghosto,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B7,,tsunamio,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B8,,harvestero,Relation to asset,Relation to asset,Categorical,Farm assets,2,2,,,,,,,,,
HAC2B9,,storage,Grain storage area,Do you have a designated grain storage area?,Categorical,Farm assets,2,2,,,,,,,,,
HAC4A1,,dwsource,Primary drinking water source,Primary drinking water source,Categorical,Drinking water,2,4,,,,,,,,,
HAC4A2,,dwsource2,Secondary drinking water source,Secondary drinking water source,Categorical,Drinking water,2,4,,,,,,,,,
HAC4B1,,dwo,Drinking water ownership for primary source,Who owns the drinking water source?,Categorical,Drinking water,2,4,,,,,,,,,
HAC4B2,,dwo2,Drinking water ownership for secondary source,Who owns the drinking water source?,Categorical,,2,4,,,,,minutes,,,,
HAC4C1,,dwseason,Drinking water seasons used for primary source,During which seasons is the drinking water source used?,Categorical,Drinking water,2,4,,,,,,,,,
HAC4C2,,dwseason2,Drinking water seasons used for secondary source,During which seasons is the drinking water source used?,Categorical,Drinking water,2,4,,,,,,,,,
HAC4D1,,dwdistance,Distance to primary drinking water source,What is the travel time to the drinking water source by foot?,Integer,Drinking water,2,4,,,,,,,,,
HAC4D2,,dwdistance2,Distance to secondary drinking water source,What is the travel time to the drinking water source by foot?,Integer,Drinking water,2,4,,,,,,,,,
HAC4E1_1,,welldepth,Well depth ,Well depth (feet),Float,Drinking water,2,4,,,,,feet,,,,
HAC4E1_2,,welldepth2,Second well depth ,Well depth (feet),Float,Drinking water,2,4,,,,,,,,,
HAC4E2_1,,welldry,Well dry in last five years,How many times did the well run dry in the last five years?,Integer,Drinking water,2,4,,,,,,,,,
HAC4E2_2,,welldry2,Second well dry in last five years,How many times did the well run dry in the last five years?,Integer,Drinking water,2,4,,,,,,,,,
HAC4E3_1,,wellworry,Worried well will run dry,Are you worried the well will run dry in the next five years?,YN,Drinking water,2,4,,,,,,,,,
HAC4E3_2,,wellworry2,Worried second well will run dry,Are you worried the well will run dry in the next five years?,YN,Drinking water,2,4,,,,,,,,,
FIN1A1,M,mahacost,Maha paddy expenditures,Maha paddy expenditures,Float,Farm expenditures,3,1,,,,,,,,,
FIN1A2,Y,yalacost,Yala paddy expenditures,Yala paddy expenditures,Float,Farm expenditures,3,1,,,,,Rs,,,,
FIN1A3,,chenacost,Normal land or chena expenditures,Normal land/chena (or others) crop (annual) expenditures,Float,Farm expenditures,3,1,,,,,Rs,,,,
FIN1B1,M,mahaearn,Maha paddy earnings,Maha paddy earnings,Float,Farm expenditures,3,1,,,,,Rs,,,,
FIN1B2,Y,yalaearn,Yala paddy earnings,Yala paddy earnings,Float,Farm expenditures,3,1,,,,,Rs,,,,
FIN1B3,,chenaearn,Chena earnings,Normal land/chena (or others) crop (annual) earnings,Float,Farm expenditures,3,1,,,,,Rs,,,,
FIN2,,totalincome,Total family income,"What is the total income your household makes in a 12-month period?  This includes any income from paid employment, farming, a business, remittances, etc.",Float,Total family income,3,2,,,,,Rs,,,,999
FIN3_1,,insvehicle,,,YN,Insurance,3,3,,,,,,,,,
FIN3_2,,inslife,Life insurance,Life insurance,YN,Insurance,3,3,,,,,,,,,
FIN3_3,,insproperty,Property insurance,Property insurance,YN,Insurance,3,3,,,,,,,,,
FIN3_4,,inshome,Home insurance,Home insurance,YN,Insurance,3,3,,,,,,,,,
FIN3_5,,inscrops,Crop insurance,Crop insurance,YN,Insurance,3,3,,,,,,,,,
FIN3_6,,inspension,Pension ,Pension ,YN,Insurance,3,3,,,,,,,,,
FIN3_7,,insother,Other insurance,Other insurance,YN,Insurance,3,3,,,,,,,,,
FIN4_1,,debt,Household debt,Does your household have debt from any source?,YN,Debt,3,4,1,,,,,,,,
FIN4A.1,,loanno,Number of loans,,Integer,Debt,3,4,2,1,,,,,,,
FIN4A.2,,loanno2,Number of loans,,Integer,Debt,3,4,2,2,,,,,,,
FIN4A.3,,loanno3,Number of loans,,Integer,Debt,3,4,2,3,,,,,,,
FIN4A.4,,loanno4,Number of loans,,Integer,Debt,3,4,2,4,,,,,,,
FIN4A.5,,loanno5,Number of loans,Number of loans,Integer,Debt,3,4,2,5,,,,,,,
FIN4B.1,,loanpurp1,Loan purpose,Loan purpose,Categorical,Debt,3,4,3,1,,,,,,,
FIN4B.2,,loanpurp2,Loan purpose,Loan purpose,Categorical,Debt,3,4,3,2,,,,,,,
FIN4B.3,,loanpurp3,Loan purpose,Loan purpose,Categorical,Debt,3,4,3,3,,,,,,,
FIN4B.4,,loanpurp4,Loan purpose,Loan purpose,Categorical,Debt,3,4,3,4,,,,,,,
FIN4B.5,,loanpurp5,Loan purpose,Loan purpose,Categorical,Debt,3,4,3,5,,,,,,,
FIN4C.1,,loansource1,Loan source,Loan source,Categorical,Debt,3,4,4,1,,,,,,,
FIN4C.2,,loansource2,Loan source,Loan source,Categorical,Debt,3,4,4,2,,,,,,,
FIN4C.3,,loansource3,Loan source,Loan source,Categorical,Debt,3,4,4,3,,,,,,,
FIN4C.4,,loansource4,Loan source,Loan source,Categorical,Debt,3,4,4,4,,,,,,,
FIN4C.5,,loansource5,Loan source,Loan source,Categorical,Debt,3,4,4,5,,,,,,,
FIN4D.1,,loanamt1,Loan amount,Loan amount,Float,Debt,3,4,5,1,,,Rs,,,,
FIN4D.2,,loanamt2,Loan amount,Loan amount,Float,Debt,3,4,5,2,,,Rs,,,,
FIN4D.3,,loanamt3,Loan amount,Loan amount,Float,Debt,3,4,5,3,,,Rs,,,,
FIN4D.4,,loanamt4,Loan amount,Loan amount,Float,Debt,3,4,5,4,,,Rs,,,,
FIN4D.5,,loanamt5,Loan amount,Loan amount,Float,Debt,3,4,5,5,,,Rs,,,,
FIN4E.1,,loanterm1,Loan term,Loan term,Float,Debt,3,4,6,1,,,,,,,
FIN4E.2,,loanterm2,Loan term,Loan term,Float,Debt,3,4,6,2,,,,,,,
FIN4E.3,,loanterm3,Loan term,Loan term,Float,Debt,3,4,6,3,,,,,,,
FIN4E.4,,loanterm4,Loan term,Loan term,Float,Debt,3,4,6,4,,,,,,,
FIN4E.5,,loanterm5,Loan term,Loan term,Float,Debt,3,4,6,5,,,,,,,
FIN4F1.1,,loanrate1,Loan rate,Loan rate,Float,Debt,3,4,7,1,,,,,,,99
FIN4F1.2,,loanrate2,Loan rate,Loan rate,Float,Debt,3,4,7,2,,,,,,,99
FIN4F1.3,,loanrate3,Loan rate,Loan rate,Float,Debt,3,4,7,3,,,,,,,
FIN4F1.4,,loanrate4,Loan rate,Loan rate,Float,Debt,3,4,7,4,,,,,,,
FIN4F1.5,,loanrate5,Loan rate,Loan rate,Float,Debt,3,4,7,5,,,,,,,
FIN4F2.1,,loanunit1,Loan unit,Loan unit,Categorical,Debt,3,4,8,1,,,,,,,
FIN4F2.2,,loanunit2,Loan unit,Loan unit,Categorical,Debt,3,4,8,2,,,,,,,
FIN4F2.3,,loanunit3,Loan unit,Loan unit,Categorical,Debt,3,4,8,3,,,,,,,
FIN4F2.4,,loanunit4,Loan unit,Loan unit,Categorical,Debt,3,4,8,4,,,,,,,
FIN4F2.5,,loanunit5,Loan unit,Loan unit,Categorical,Debt,3,4,8,5,,,,,,,
FIN5A1_1,,ysold,Yala paddy sold,Yala paddy sold,Float,Paddy market,3,5,1,1,,,Rs,,,,
FIN5A1_2,,yowed,Yala paddy owed as debt,Yala paddy owed as debt,Float,Paddy market,3,5,1,2,,,Rs,,,,
FIN5A1_3,,ycons,Yala paddy consumed,Yala paddy consumed,Float,Paddy market,3,5,1,3,,,Rs,,,,
FIN5A3_1,,price,Market price for paddy,Market price for paddy,Float,Paddy market,3,5,2,,,,Rs,,,,
FIN5B1_1,,msold,Maha paddy sold,Maha paddy sold,Float,Paddy market,3,5,3,1,,,Rs,,,,999
FIN5B1_2,,mowed,Maha paddy owed,Maha paddy owed,Float,Paddy market,3,5,3,2,,,Rs,,,,999
FIN5B1_3,,mcons,Maha paddy consumed,Maha paddy consumed,Float,Paddy market,3,5,3,3,,,Rs,,,,
LAN1A.1,,parcel1lm,Parcel 1 landmark,Parcel 1 landmark,String,Land tenure,4,1,1,1,,,,,TRUE,,
LAN1B.1,,acres,Area ,Area (acres),Float,Land tenure,4,1,2,1,,,acres,,,,
LAN1C.1,,landtype,Type of land,Type of land,Categorical,Land tenure,4,1,3,1,,,,,,,
LAN1D.1,,tenancy,Tennancy of land,Tennancy of land,Categorical,Land tenure,4,1,4,1,,,,,,,
LAN1E.1,,yearacq,Year land acquired,Year land acquired,Integer,Land tenure,4,1,5,1,,,,,,,
LAN1F.1,,locale,Loaction of land,Loaction of land,Categorical,Land tenure,4,1,6,1,,,,,,,
LAN1G.1,,distplothome,Distance from home,Distance from home,Integer,Land tenure,4,1,7,1,,,,,,,
LAN1H_1.1,M,mirrigation,Irrigation during Maha,Irrigation during Maha,Categorical,Land tenure,4,1,8,1,,,,,,,
LAN1I_1.1,Y,yirrigation,Irrigation during Yala,Irrigation during Yala,Categorical,Land tenure,4,1,9,1,,,,,,,
LAN1A.2,,parcel2lm,,,String,Land tenure,4,1,1,2,,,,,,,
LAN1B.2,,acres2,Area ,Area ,Float,Land tenure,4,1,2,2,,,,,,,
LAN1C.2,,landtype2,Type of land,Type of land,Categorical,Land tenure,4,1,3,2,,,,,,,
LAN1D.2,,tennancy2,Tennancy of land,Tennancy of land,Categorical,Land tenure,4,1,4,2,,,,,,,
LAN1E.2,,year2,Year land acquired,Year land acquired,Integer,Land tenure,4,1,5,2,,,,,,,
LAN1F.2,,location2,Loaction of land,Loaction of land,Categorical,Land tenure,4,1,6,2,,,,,,,
LAN1G.2,,distplothome2,Distance from home,Distance from home,Float,Land tenure,4,1,7,2,,,,,,,
LAN1H_1.2,M,mirrigation2,Irrigation during Maha,Irrigation during Maha,Categorical,Land tenure,4,1,8,2,,,,,,,
LAN1I_1.2,Y,yirrigation2,Irrigation during Yala,Irrigation during Yala,Categorical,Land tenure,4,1,9,2,,,,,,,
LAN1A.3,,parcel3lm,parcel3lm,parcel3lm,String,Land tenure,4,1,1,3,,,,,,,
LAN1B.3,,area3,Area ,Area ,Float,Land tenure,4,1,2,3,,,,,,,
LAN1C.3,,type3,Type of land,Type of land,Categorical,Land tenure,4,1,3,3,,,,,,,
LAN1D.3,,tennancy3,Tennancy of land,Tennancy of land,Categorical,Land tenure,4,1,4,3,,,,,,,
LAN1E.3,,year3,Year land acquired,Year land acquired,Integer,Land tenure,4,1,5,3,,,,,,,
LAN1F.3,,location3,Loaction of land,Loaction of land,Categorical,Land tenure,4,1,6,3,,,,,,,
LAN1G.3,,distance3,Distance from home,Distance from home,Float,Land tenure,4,1,7,3,,,,,,,
LAN1H_1.3,M,mirrigation3,Irrigation during Maha,Irrigation during Maha,Categorical,Land tenure,4,1,8,3,,,,,,,
LAN1I_1.3,Y,yirrigation3,Irrigation during Yala,Irrigation during Yala,Categorical,Land tenure,4,1,9,3,,,,,,,
LAN2_NO.1,,l1flag,l1flag,l1flag,Integer,Land tenure,4,1,1,,,,,,,,
LAN2_NO.2,,l2flag,l2flag,l2flag,Integer,Land tenure,4,1,2,,,,,,,,
LAN2_NO.3,,l3flag,l3flag,l3flag,Integer,Land tenure,4,1,3,,,,,,,,
LAN2_NO.4,,l4flag,l4flag,l4flag,Integer,Land tenure,4,1,4,,,,,,,,
LAN2_NO.5,,l5flag,l5flag,l5flag,Integer,Land tenure,4,1,5,,,,,,,,
LAN2B.1,,pos1,Position of parcel 1,Position of parcel 1,Categorical,Land tenure,4,2,1,,,,,,,,
LAN2B.2,,pos2,Position of parcel 2,Position of parcel 2,Categorical,Irrigation,4,2,2,,,,,,,,
LAN2B.3,,pos3,Position of parcel 3,Position of parcel 3,Categorical,Irrigation,4,2,3,,,,,,,,
LAN2C1.1,M,msatis1,Maha satisfaction with water delivery at parcel 1 ,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,3,1,,,,,,,,
LAN2C1.2,M,msatis2,Maha satisfaction with water delivery at parcel 2 ,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,3,2,,,,,,,,
LAN2C1.3,M,msatis3,Maha satisfaction with water delivery at parcel 3 ,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,3,3,1,1,,,,,,
LAN2C2.1,Y,ysatis1,Yala satisfaction with water delivery at parcel 1,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,2,3,1,2,,,,,,
LAN2C2.2,Y,ysatis2,Yala satisfaction with water delivery at parcel 2,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,2,3,2,1,,,,,,
LAN2C2.3,Y,ysatis3,Yala satisfaction with water delivery at parcel 2,How satisfied are you with the amount of irrigation water you receive?,Categorical,Irrigation,4,2,3,2,2,,,,,,
LAN2D1.1,M,mdeliveryfail1,Maha failed delivery in parcel 1,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,1,1,,,,,,
LAN2D1.2,M,mdeliveryfail2,Maha failed delivery in parcel 2,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,1,2,,,,,,
LAN2D1.3,M,mdeliveryfail3,Maha failed delivery in parcel 3,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,1,3,,,,,,
LAN2D2.1,Y,ydeliveryfail1,Yala failed delivery in parcel 1,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,2,1,,,,,,
LAN2D2.2,Y,ydeliveryfail2,Yala failed delivery in parcel 2,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,2,2,,,,,,
LAN2D2.3,Y,ydeliveryfail3,Yala failed delivery in parcel 3,"In the last five years, what percentage of time does the released irrigation water fail to reach your field because it has all been used?",Integer,Irrigation,4,2,4,2,3,,,,,,
LAN2E1.1,M,mcropfail1,Crop failures during Maha season,"In the last five seasons, how  many seasons did you not get enough water to produce a successful crop?",Integer,Irrigation,4,2,5,1,1,,,,,,
LAN2E1.2,M,mcropfail2,Crop failures during Maha season,,Integer,Irrigation,4,2,5,1,2,,,,,,
LAN2E1.3,M,mcropfail3,Crop failures during Maha season,,Integer,Irrigation,4,2,5,1,3,,,,,,
LAN2E2.1,Y,ycropfail1,Crop failures during Yala season,,Integer,Irrigation,4,2,5,2,1,,,,,,
LAN2E2.2,Y,ycropfail2,Crop failures during Yala season,,Integer,Irrigation,4,2,5,2,2,,,,,,
LAN2E2.3,Y,ycropfail3,Crop failures during Yala season,,Integer,Irrigation,4,2,5,2,3,,,,,,
LAN3_NO.1,,agrowell,Agrowell irrigating plot 1,Agrowell irrigating plot 1,Integer,Agrowell,4,3,1,,,,,,,,
LAN3A_1.1,,awplot,Agrowell plot number,Land number from tenure table that is irrigated by well,Integer,Agrowell,4,3,2,,,,,,,,
LAN3B.1,,awinstalled,Year agrowell installed,When was the agrowell installed?,Integer,Agrowell,4,3,3,,,,,,,,
LAN3C.1,,awdepth,Agrowell depth,How deep is the agrowell,Float,Agrowell,4,3,4,,,,feet,,,,
LAN3D.1,,awo,Agrowell owner,Who owns the agrowell,Categorical,Agrowell,4,3,5,,,,,,,,
LAN3E.1,,awcost,Agrowell cost,Cost to the household (material plus labor),Categorical,Agrowell,4,3,6,,,,,,,,
LAN3F.1,,awmaintain,Who maintains the agrowell,Who maintains this well?,Categorical,Agrowell,4,3,7,,,,,,,,
LAN3G1.1,M,mawscarce,Maha agrowell scarcity,"In the last five years, what percentage of time has there been insufficient water in this agrowell to irrigate your land?",Integer,Agrowell,4,3,8,1,,,,,,,
LAN3G2.1,Y,yawscarce,Yala agrowell scarcity,"In the last five years, what percentage of time has there been insufficient water in this agrowell to irrigate your land?",Integer,Agrowell,4,3,8,2,,,,,,,
LAN3H1.1,M,mawcrop,Maha agrowell crop damage,"In the last five years, how many seasons did you not get enough water to produce a successful crop?",Integer,Agrowell,4,3,9,1,,,,,,,
LAN3H2.1,Y,yawcrop,Yala agrowell crop damage,,Integer,Agrowell,4,3,9,2,,,,,,,
LAN4A1,M,rfscarcem,Insufficient rainfall on rain-fed lands during Maha,"In the last five years, how many seasons has there been insufficient rainfall to produce a successful crop?",Integer,Rainfed ,4,4,1,1,,,,,,,
LAN4A2,Y,rfscarcey,Insufficient rainfall on rain-fed lands during Yala,"In the last five years, how many seasons has there been insufficient rainfall to produce a successful crop?",Integer,Rainfed ,4,4,1,2,,,,,,,
LAN4B,,rfinfluence,Can you influence the rainfall,Do you believe that you have the ability to influence the rainfall that you receive?,Categorical,Rainfed ,4,4,2,,,,,,,,
LAN4C,,rfinfexpl,Explanation of rainfall influence,How are you able to influence the rainfall?,Qualitative,Rainfed ,4,4,1,,,,,,TRUE,,
LAN5_2,,wqcrops,Water quality affect crop health,Do you think the quality of your irrigation water might negatively affect your crop?,YN,Water quality,4,4,2,,,,,,,,
LAN5_3,,wqsource,Source of water quality issues,Source of water quality issues,Categorical,Water quality,4,4,3,,,,,,TRUE,TRUE,
FAR1A1,M,paddyextent,Extent of paddy cultivation ,How much of your land do you cultivate with paddy?,Float,Paddy cultivation,5,1,1,1,,,acres,,,,95
FAR1A2,M,paddydurm,Paddy variety for Maha season,How many months do your paddy seedlings take to grow?,Float,Paddy cultivation,5,1,2,1,,,,,,,
FAR1A7,M,paddyyieldm,Paddy yield for Maha season,What is your paddy yield from this land in bushels?,Float,Paddy cultivation,5,1,7,1,,,bushels,,,,999
FAR1A8,M,ofcextentm,OFC extent for Maha season,How much of your paddy land do you cultivate with OFCs?,Float,Paddy cultivation,5,1,8,1,,,acres,,,,95
FAR1A9_1,M,ofccropsm,Maha OFC crops,If you plant OFC what crops do you plant?,String,Paddy cultivation,5,1,9,1,1,,,,,,
FAR1A9_2,M,ofccropsm2,Maha OFC crops,If you plant OFC what crops do you plant?,String,Paddy cultivation,5,1,9,1,2,,,,,,
FAR1A10,M,organicfertm,Organic fertilizer application for Maha season,Do you apply organic fertilizer to your paddy land?,YN,Paddy cultivation,5,1,10,1,,,,,,,
FAR1A11,M,chemfertm,Chemical fertilizer for Maha season,Do you apply chemical fertilizer to your paddy land?,YN,Paddy cultivation,5,1,11,1,,,,,,,
FAR1C1,Y,paddyextenty,Paddy extent for Yala season,How much of your land do you cultivate with paddy?,Float,Paddy cultivation,5,1,1,2,,,,,,,98
FAR1C2,Y,paddydury,Paddy duration for Yala season,How many months do your paddy seedlings take to grow?,Float,Paddy cultivation,5,1,2,2,,,,,,,
FAR1C7,Y,paddyyieldy,Paddy yield for Yala season,What is your paddy yield from this land in bushels?,Float,Paddy cultivation,5,1,7,2,,,bushels,,,,98
FAR1C8,Y,ofcextenty,OFC extent for Yala season,How much of your paddy land do you cultivate with OFCs?,Float,Paddy cultivation,5,1,8,2,,,acres,,,,95
FAR1C9_1,Y,ofccropsy,Yala OFC crops cutlivated,What OFCs do you cultivate?,Categorical,Paddy cultivation,5,1,9,2,1,,,,,,
FAR1C9_2,Y,ofccropsy2,Yala OFC crops cultivated,What OFCs do you cultivate?,Categorical,Paddy cultivation,5,1,9,2,2,,,,,,
FAR1C10,Y,organicferty,Organic fertilizer in Yala,Organic fertilizer in Yala,YN,Paddy cultivation,5,1,10,2,,,,,,,
FAR2A1,,ofc1,OFC ,OFC cultivated on non-paddy land,Categorical,OFC,5,2,1,,,,,,,,
FAR2A2,,ofc2,OFC ,OFC cultivated on non-paddy land,Categorical,OFC,5,2,2,,,,,,,,
FAR2A3,,ofc3,OFC ,OFC cultivated on non-paddy land,Categorical,OFC,5,2,3,,,,,,,,
FAR2A4,,ofc4,OFC ,OFC cultivated on non-paddy land,Categorical,OFC,5,2,4,,,,,,,,
FAR3A1.1,,ofcsold1,OFC sold ,Which OFC produced the most income?,Categorical,OFC,5,3,1,1,,,,,,,
FAR3A1.2,,ofcsold2,OFC sold ,Which OFC produced the most income?,Categorical,OFC,5,3,1,2,,,,,,,
FAR3A1.3,,ofcsold3,OFC sold ,Which OFC produced the most income?,Categorical,OFC,5,3,1,3,,,,,,,
FAR3A2A.1,,ofc1unit,Unit for OFC1,Unit for OFC1,Categorical,OFC,5,3,2,1,1,,,,,,
FAR3A2A.2,,ofc2unit,Unit for OFC2,Unit for OFC2,Categorical,OFC,5,3,2,1,2,,,,,,
FAR3A2A.3,,ofc3unit,Unit for OFC3,Unit for OFC3,Categorical,OFC,5,3,2,1,3,,,,,,
FAR3A2B.1,,ofc1amt,Yield for OFC1,Yield for OFC1,Float,OFC,5,3,2,2,1,,,,,,
FAR3A2B.2,,ofc2amt,Yield for OFC2,Yield for OFC2,Float,OFC,5,3,2,2,2,,,,,,
FAR3A2B.3,,ofc3amt,Yield for OFC3,Yield for OFC3,Float,OFC,5,3,2,2,3,,,,,,
FAR3A3A.1,,ofc1mplow,Lowest market price for OFC1,Lowest market price for OFC2,Float,OFC,5,3,1,1,,,,,,,
FAR3A3B.1,,ofc1mphigh,Highest market price for OFC1,Highest market price for OFC2,Float,OFC,5,3,2,1,,,,,,,
ENV1A2,M,rfm,Amount of rainfall during Maha,,Categorical,Environmental change,7,1,2,1,,,,,,,
ENV1A3,Y,rfy,Amount of rainfall during Yala,Amount of rainfall during Yala,Categorical,Environmental change,7,1,3,1,,,,,,,
ENV1A4,M,begrfm,Beginning of Maha rains,Beginning of Maha rains,Categorical,Environmental change,7,1,4,1,,,,,,,
ENV1A5,,predrf,Predictability of rainfall,Predictability of rainfall,Categorical,Environmental change,7,1,5,1,,,,,,,
ENV1A6,,drought,Drought frequency,Drought frequency,Categorical,Environmental change,7,1,6,1,,,,,,,
ENV1A7,,gw,Water level in well,Water level in well,Categorical,Environmental change,7,1,7,1,,,,,,,
ENV1A8,,irrigwater,Amount of water received for irrigation,Amount of water received for irrigation,Categorical,Environmental change,7,1,8,1,,,,,,,
ENV1A9,,riceyield,Rice yields,Rice yields,Categorical,Environmental change,7,1,9,1,,,,,,,
ENV1A10,,pests,Crop pests,Crop pests,Categorical,Environmental change,7,1,10,1,,,,,,,
