ID,SHENO,HI5,HI6,HI3,HI4_Name,HI4,HI8,HH_Members,HH_U_13,HH_Adult,HH_O_65,HH_C_1,HH_G_1,HH_H_1,HH_J_1,HH_K_1,HH_2_A_01,HH_2_D_01,HH_2_E_01,HH_2_F_01,HH_2_H_01,HH_2_H_X,HAC_3_1,LAN1B_01,LAN1C_01,Total_HA,LAN1D_01,LAN1E_01,LAN1G_01,Season,LAN1H1_01,Major_Irr,LAN1I_01,FAR1A_1,FAR1A_5,Rice_per_acre,FIN2_1,SAT1_1,SAT1_1X,SAT1_2,SAT1_2X,FO_1,FO_2,FO_3,CAES_1,ADP1_A3,ADP1_A4,ADP1_A5,ADP1_A6,ADP1_A7,ADP1_A8,ADP1_A9,ADP1_A10,ADP1_AX1,ADP1_A,ADP1_AX2,ADP1_B1,ADP1_B3,ADP1_B4,ADP1_B5,ADP1_B6,ADP1_B7,ADP1_B8,ADP1_B9,ADP1_B10,ADP1_BX1,ADP1_B,ADP1_BX2,NDP4_1,NDP4_2,NDP4_3,CAP5_1,CAP5_2,CAP5_3,CAP5_4,Adaptive_Cap,CAP1_1,CAP1_2,CAP1_3,Collective_Acts,Personal_Cont,CAP2_1,CAP2_2,CAP2_3,PID1B_1,PID1B_2,PID1B_3,Standardized_SES,Agrowell_Prop,Major_Prop,Minor_Prop,Other_Prop,Rainfed_Prop,Food_Insecurity
11,111,126,70,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0.5,0.5,0,1,1,95,1,1,1,1,33,3,611,1,1,1,0.25,1.5,3,2,2,2,5,0,0,0.5,60,120,1,1,1,2,0,0,1,0,2,1,1,1,0,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,0,1,1,1,0,0,0,2,3,1,4,2.5,4,4,2,3.333333333,3,1,3,2,3,3,3,-2.840872719,0,0,33.33333333,0,66.66666667,2
12,112,93,65,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,2,6,0.333333333,0.333333333,0.333333333,1,1,95,1,1,1,1,38,3,611,1,1,1,3,4,1,15,2,2,5,0,0,3,267,89,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,4,4,2,4,3.5,3,4,2,3,3,1,1,3,4,4,4,-0.004868779,25,0,75,0,25,0
13,113,1,1,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,0.5,0.5,1,1,96,1,1,1,1,65,3,611,1,1,1,0.5,3.75,1,30,2,2,5,0,0,1.75,150,85.71428571,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,4,4,4,4,4,3,4,1,2.666666667,2,1,1,2,4,4,4,-0.541644,0,0,46.66666667,0,53.33333333,2
14,114,11,11,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,6,0.166666667,0.833333333,0,1,1,95,1,1,1,1,46,3,611,1,1,1,1,3,1,22,1,1,5,0,0,1,120,120,1,1,1,3,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,4,1,3,2,2,1,2,4,4,4,-0.541644,66.66666667,0,33.33333333,0,66.66666667,1
15,115,19,19,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,2,4,0,0.75,0.25,1,1,96,1,1,1,1,45,3,611,1,1,1,1,1,1,20,2,2,5,0,0,1,80,80,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,4,3,4,4,3.75,3,4,4,3.666666667,3,1,4,4,4,4,4,-0.541644,0,0,100,0,0,0
16,116,54,54,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0,1,0,1,1,96,1,1,1,1,48,4,611,1,1,1,0.5,4.5,2,1,2,2,5,0,0,3,260,86.66666667,1,1,1,3,1,0,0,1,2,1,1,1,1,1,1,1,0,1,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,3,3,2,3,2.75,3,4,2,3,2,1,3,3,3,4,4,1.304196151,0,0,66.66666667,0,33.33333333,0
17,117,3,3,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,1,0,1,1,95,1,1,1,1,56,3,611,1,1,1,0.5,3,3,5,1,1,5,0,0,1,120,120,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,3,4,2,3,3,2,4,2,2.666666667,3,2,2,1,4,3,4,0.921379433,0,0,33.33333333,0,66.66666667,0
18,118,60,60,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0,1,0,2,1,97,1,1,1,1,44,3,611,1,1,1,1,3.75,3,10,2,2,5,0,0,2.25,330,146.6666667,1,1,1,3,1,0,0,1,2,1,1,1,1,1,0,1,0,1,1,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,2,3,2,4,2.75,2,4,2,2.666666667,3,1,4,3,4,3,3,0.349581497,0,0,60,0,40,0
19,119,39,39,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,7,0.428571429,0.285714286,0.285714286,1,1,96,1,1,1,1,72,2,611,1,1,1,0.5,4.5,3,5,2,2,5,0,0,2,180,90,1,1,1,2,0,0,1,0,2,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,2,3,1,4,2.5,3,4,2,3,2,2,2,2,3,3,3,1.304196151,0,0,44.44444444,0,55.55555556,0
20,120,45,45,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,6,0.333333333,0.5,0.166666667,1,1,96,1,1,1,1,41,4,541,2,1,1,3,5.5,3,4,2,2,5,0,0,5.5,600,109.0909091,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,3,2,2,4,2.75,4,4,2,3.333333333,2,1,2,3,4,3,3,-0.004868779,0,0,100,0,0,4
21,121,10,10,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,1,0,1,1,96,1,1,1,1,58,4,611,1,1,1,0.5,1.5,1,35,1,1,5,0,0,0.5,70,140,2,1,1,3,1,0,0,1,2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,3,2,3,4,3,3,4,4,3.666666667,3,1,3,4,4,4,4,-0.004868779,0,0,33.33333333,0,66.66666667,0
22,122,18,18,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,0.5,0.5,2,1,97,1,1,1,2,68,2,611,1,1,1,1,1,1,45,2,2,5,0,0,1,25,25,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,3,4,3,3,3.25,3,2,2,2.333333333,2,1,2,2,3,3,3,-0.775384299,0,0,100,0,0,0
23,123,12,12,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,1,0,1,1,95,1,1,1,1,42,3,611,1,1,1,2,7.75,3,2,2,2,5,0,0,5.75,768,133.5652174,2,1,1,2,0,0,1,0,2,1,1,1,0,1,1,1,0,1,1,1,2,0,0,1,0,1,1,1,0,1,1,1,0,1,0,3,2,2,4,2.75,4,4,3,3.666666667,2,2,4,4,4,3,4,0.503540001,35.48387097,0,64.51612903,0,35.48387097,1
24,124,33,33,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0,1,0,2,1,96,1,1,1,1,53,2,611,1,1,1,1,3.5,1,10,2,2,5,0,0,3.5,210,60,1,1,1,2,0,0,1,0,2,0,1,1,0,1,1,1,1,1,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,2,3,2,3,2.5,4,4,3,3.666666667,2,1,3,4,3,3,3,0.921379433,0,0,100,0,0,3
25,125,47,47,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.4,0.6,0,1,1,95,1,1,1,1,50,1,611,1,1,1,2,6,1,20,2,2,5,0,0,4,222,55.5,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,4,3,1,4,3,2,4,4,3.333333333,1,1,3,3,4,1,4,-1.532925447,0,0,66.66666667,0,33.33333333,2
26,126,89,64,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0.25,0.75,0,1,1,96,1,1,1,2,35,3,611,1,1,1,1.25,3.5,5,5,2,2,5,0,0,2,240,120,1,1,1,2,0,0,1,0,2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,3,2,3,2,2.5,3,2,3,2.666666667,2,1,3,3,3,4,4,1.304196151,0,0,57.14285714,0,42.85714286,0
27,127,153,74,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.2,0.8,0,1,1,95,1,1,1,1,46,4,341,2,1,1,0.5,2.25,1,6,2,2,5,0,0,1.25,120,96,1,1,1,2,0,0,1,0,2,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,2,3,3,2.5,3,4,3,3.333333333,3,1,3,4,3,3,3,-0.004868779,0,0,55.55555556,0,44.44444444,0
28,128,13,13,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,6,0.333333333,0.666666667,0,1,1,96,1,1,1,1,45,3,611,1,1,1,0.5,4.5,1,10,1,1,5,0,0,1,90,90,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,3,2,4,2.5,3,4,2,3,1,1,2,3,4,4,4,-0.158827282,0,0,22.22222222,0,77.77777778,4
29,129,38,38,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0,0.8,0.2,2,1,95,1,1,1,1,66,3,611,1,1,1,1,3,1,45,2,2,5,0,0,3,360,120,2,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,4,3,3,3,3.25,4,4,3,3.666666667,3,1,4,4,4,3,3,-0.004868779,0,0,100,0,0,0
30,130,116,69,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.2,0.6,0.2,2,1,96,1,1,1,2,39,2,611,1,1,1,0.5,2.5,8,3,1,1,5,0,0,2,125,62.5,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,4,1,4,2.5,3,3,2,2.666666667,3,1,3,3,4,4,4,0.282774075,0,0,40,0,60,0
31,131,34,34,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0,1,0,2,1,96,1,1,1,1,61,6,411,2,1,1,0.5,3,1,10,2,2,5,0,0,2.5,180,72,1,1,1,2,0,0,1,0,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,2,3,3,4,3,4,4,2,3.333333333,1,2,3,3,3,3,3,0.503540001,0,0,83.33333333,0,16.66666667,0
32,132,57,57,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,2,5,0,1,0,2,1,95,1,1,1,1,54,4,11,2,1,1,1,4,1,25,1,1,5,0,0,2,90,45,1,1,1,3,1,0,0,1,2,1,1,1,0,1,0,0,1,1,1,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,4,1,4,3.25,2,4,3,3,3,1,2,3,4,4,4,1.304196151,0,0,50,0,50,0
33,133,106,67,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,1,0,1,1,96,1,1,1,2,48,3,611,1,1,1,1,6,1,10,2,2,5,0,0,1,90,90,1,1,1,3,1,0,0,1,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2.25,2,3,3,2.666666667,1,1,1,2,4,4,4,0.115841198,0,0,16.66666667,0,83.33333333,0
34,134,44,44,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0,1,0,2,1,95,1,1,1,1,52,3,611,1,1,1,2,3.25,1,25,1,1,5,0,0,2.25,165,73.33333333,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,4,4,2,4,3.5,3,4,2,3,3,1,3,3,3,4,4,-0.033235221,0,0,69.23076923,0,30.76923077,1
35,135,8,8,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,1,0,1,1,96,1,1,1,2,59,2,611,1,1,1,1.5,2,1,3,2,2,5,0,0,2,180,90,1,1,1,2,0,0,1,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,3,2,2,2.25,3,2,3,2.666666667,1,2,3,2,3,4,3,-1.466774554,0,0,100,0,0,4
36,136,2,2,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0,1,0,1,1,96,1,1,1,1,53,4,611,1,1,1,1.5,6.25,1,30,1,1,5,0,0,3,300,100,1,1,1,3,1,0,0,1,2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,1,1,0,1,2,1,0,0,1,4,3,3,4,3.5,4,4,3,3.666666667,3,2,3,2,4,4,4,0.886356719,0,0,68,0,32,0
37,137,111,68,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,2,4,0.25,0.75,0,1,1,95,1,1,1,1,44,3,11,2,1,1,2,3.25,1,5,2,2,5,0,0,2.75,240,87.27272727,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,4,1.75,3,3,2,2.666666667,3,2,3,4,4,4,4,-0.254001147,15.38461538,0,84.61538462,0,15.38461538,0
38,138,68,62,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,1,0,1,1,96,1,1,1,2,43,2,611,1,1,1,0.5,2,1,15,2,2,5,0,0,2,216,108,1,1,1,3,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4,2.5,3,3,3,3,1,1,3,3,4,4,4,0.700613507,0,0,100,0,0,0
39,139,98,66,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.4,0.6,0,1,1,95,1,1,1,1,47,3,611,1,1,1,3,9.75,3,2,2,2,5,0,0,4.75,300,63.15789474,2,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,4,4,2,4,3.5,3,4,3,3.333333333,3,1,4,4,4,4,4,0.700613507,0,0,48.71794872,0,51.28205128,1
40,140,143,73,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.2,0.8,0,1,1,95,1,1,1,1,56,2,611,1,1,1,1.5,3.25,1,35,2,2,5,0,0,3.25,180,55.38461538,1,1,1,3,1,0,0,1,2,1,1,1,1,1,1,0,0,1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,2,4,3,3,4,2,3,3,1,3,3,4,4,4,0.795787372,7.692307692,0,100,0,0,0
41,141,32,32,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0,1,0,1,1,95,1,1,1,1,52,4,411,2,1,1,2,6.75,1,10,1,1,5,0,0,5.75,500,86.95652174,1,1,1,3,1,0,0,1,2,1,1,1,1,1,1,0,0,1,2,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,4,4,2,4,3.5,2,3,2,2.333333333,1,1,1,2,4,3,4,0.377947939,0,0,85.18518519,0,14.81481481,0
42,142,5,5,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,1,0,1,1,96,1,1,1,1,51,2,611,1,1,1,0.25,2.5,1,30,1,1,5,0,0,1.5,216,144,2,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,4,4,2.5,3,3,1,2.333333333,2,2,3,3,1,1,1,-0.100042644,0,0,60,0,40,0
